actication:relu, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.355620372447834, accu:0.3022212250392641
actication:logistic, hidden64, alpha1e-05, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.01, Precision: 0.0701, Recall: 0.7133, F1-measure: 0.1273, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.1, Precision: 0.1534, Recall: 0.6607, F1-measure: 0.2474, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.2, Precision: 0.1545, Recall: 0.6607, F1-measure: 0.2489, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.3, Precision: 0.1554, Recall: 0.6607, F1-measure: 0.2500, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.4, Precision: 0.0979, Recall: 0.3004, F1-measure: 0.1465, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.5, Precision: 0.0998, Recall: 0.2985, F1-measure: 0.1485, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.6, Precision: 0.1485, Recall: 0.2967, F1-measure: 0.1961, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.7, Precision: 0.1538, Recall: 0.2967, F1-measure: 0.2014, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.8, Precision: 0.1538, Recall: 0.2967, F1-measure: 0.2014, RANK:10.599282028270137, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:10.599282028270137, accu:0.3022212250392641

actication:relu, hidden128, alpha1e-05, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha1e-05, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha1e-05, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha1e-05, Val: 0.01, Precision: 0.0664, Recall: 0.7109, F1-measure: 0.1212, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha1e-05, Val: 0.1, Precision: 0.1662, Recall: 0.6577, F1-measure: 0.2639, RANK:11.07942562261611, accu:0.3022212250392641

