Seed, Order, mu, sigma, Accuracy, Supervison
15, 4,  11, 0.001, 0.6747750281214848,w
45234, 3,  9, 10, 0.6082474226804123,w
9, 3,  15, 5, 0.6044754431851206,w
45234, 3,  11, 10, 0.6192726231386025,w
9, 4,  11, 0.5, 0.6675385062481837,w
12, 3,  13, 0.1, 0.6233839235525576,w
9, 4,  9, 0.001, 0.6689915722173787,w
9, 4,  13, 0.1, 0.6687009590235397,w
12, 4,  3, 0.1, 0.6842327150084317,w
12, 4,  1, 0.5, 0.6847948285553682,w
12, 3,  11, 5, 0.630831928049466,w
15, 3,  13, 0.5, 0.610658042744657,w
15, 4,  3, 0.5, 0.6687289088863893,w
12, 4,  9, 0.1, 0.6852164137155705,w
45234, 4,  9, 0.001, 0.6839919816723941,w
15, 4,  1, 0.5, 0.6701349831271091,w
15, 4,  11, 0.1, 0.6749156355455568,w
45234, 4,  11, 0.001, 0.6842783505154639,w
45234, 3,  1, 10, 0.5711626575028637,w
15, 3,  15, 10, 0.6062992125984252,w
9, 4,  11, 5, 0.6964545190351642,w
9, 4,  13, 0.5, 0.6694274920081371,w
12, 4,  1, 5, 0.653035413153457,w
12, 4,  5, 0.001, 0.6850758853288365,w
9, 4,  9, 0.1, 0.6692821854112176,w
45234, 4,  9, 0.1, 0.6842783505154639,w
12, 3,  15, 0.5, 0.6222596964586846,w
12, 4,  3, 0.5, 0.6836706014614953,w
15, 4,  11, 0.5, 0.6751968503937008,w
12, 4,  9, 0.5, 0.6847948285553682,w
45234, 4,  1, 0.001, 0.684135166093929,w
45234, 4,  11, 0.1, 0.684135166093929,w
15, 4,  3, 5, 0.6511529808773904,w
15, 4,  1, 5, 0.6639482564679415,w
15, 4,  15, 0.001, 0.6740719910011248,w
9, 4,  13, 5, 0.6689915722173787,w
12, 4,  1, 10, 0.1205733558178752,w
12, 4,  5, 0.1, 0.6845137717819,w
12, 3,  11, 10, 0.6242270938729624,w
9, 4,  9, 0.5, 0.6688462656204591,w
9, 3,  15, 10, 0.5954664341761116,w
45234, 4,  9, 0.5, 0.6838487972508591,w
12, 3,  13, 0.5, 0.6236649803260259,w
45234, 4,  11, 0.5, 0.6844215349369989,w
