actication:tanh, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.870540722459053, accu:0.3022212250392641
actication:relu, hidden256, alpha0.001, Val: 0.1, Precision: 0.0985, Recall: 0.6702, F1-measure: 0.1708, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 0.2, Precision: 0.1163, Recall: 0.6682, F1-measure: 0.1973, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 0.3, Precision: 0.1149, Recall: 0.6602, F1-measure: 0.1949, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 0.4, Precision: 0.0656, Recall: 0.3088, F1-measure: 0.1076, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 0.5, Precision: 0.0104, Recall: 0.0363, F1-measure: 0.0160, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 0.6, Precision: 0.0133, Recall: 0.0348, F1-measure: 0.0191, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 0.7, Precision: 0.0159, Recall: 0.0279, F1-measure: 0.0199, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 0.8, Precision: 0.0164, Recall: 0.0277, F1-measure: 0.0201, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 0.9, Precision: 0.0240, Recall: 0.0240, F1-measure: 0.0240, RANK:12.09759928202827, accu:0.027821404532196545

actication:logistic, hidden128, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.01, Precision: 0.0697, Recall: 0.7133, F1-measure: 0.1266, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.1, Precision: 0.1521, Recall: 0.6607, F1-measure: 0.2455, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.2, Precision: 0.1528, Recall: 0.6607, F1-measure: 0.2464, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.3, Precision: 0.1533, Recall: 0.6607, F1-measure: 0.2471, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.4, Precision: 0.0966, Recall: 0.3001, F1-measure: 0.1448, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.5, Precision: 0.0992, Recall: 0.2987, F1-measure: 0.1478, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.6, Precision: 0.1027, Recall: 0.2983, F1-measure: 0.1519, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.01, Precision: 0.0676, Recall: 0.7162, F1-measure: 0.1231, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.7, Precision: 0.1519, Recall: 0.2967, F1-measure: 0.1995, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.1, Precision: 0.1375, Recall: 0.6636, F1-measure: 0.2268, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.8, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.2, Precision: 0.1375, Recall: 0.6636, F1-measure: 0.2268, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.3, Precision: 0.1375, Recall: 0.6636, F1-measure: 0.2268, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden128, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:11.24141799416648, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.4, Precision: 0.0791, Recall: 0.3042, F1-measure: 0.1249, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.5, Precision: 0.0791, Recall: 0.3042, F1-measure: 0.1249, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.6, Precision: 0.1046, Recall: 0.3027, F1-measure: 0.1547, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.7, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.8, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:10.62979582678932, accu:0.3022212250392641

actication:logistic, hidden256, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:10.62979582678932, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.01, Precision: 0.0689, Recall: 0.7107, F1-measure: 0.1252, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.1, Precision: 0.1587, Recall: 0.6577, F1-measure: 0.2542, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.2, Precision: 0.1591, Recall: 0.5640, F1-measure: 0.2457, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.3, Precision: 0.1032, Recall: 0.3065, F1-measure: 0.1528, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.4, Precision: 0.1012, Recall: 0.2983, F1-measure: 0.1501, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.5, Precision: 0.1014, Recall: 0.2983, F1-measure: 0.1503, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.6, Precision: 0.1039, Recall: 0.2983, F1-measure: 0.1532, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.7, Precision: 0.1378, Recall: 0.2967, F1-measure: 0.1857, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.8, Precision: 0.1580, Recall: 0.2967, F1-measure: 0.2041, RANK:10.833744671303567, accu:0.3022212250392641

actication:tanh, hidden64, alpha1e-05, Val: 0.9, Precision: 0.2986, Recall: 0.2879, F1-measure: 0.2915, RANK:10.833744671303567, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 1e-05, Precision: 0.0403, Recall: 0.7291, F1-measure: 0.0762, RANK:10.757908907336773, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:10.757908907336773, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 0.001, Precision: 0.0457, Recall: 0.7237, F1-measure: 0.0856, RANK:10.757908907336773, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 0.01, Precision: 0.0617, Recall: 0.7152, F1-measure: 0.1132, RANK:10.757908907336773, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 0.1, Precision: 0.0921, Recall: 0.6739, F1-measure: 0.1608, RANK:10.757908907336773, accu:0.3022212250392641

